plaintive -----悲伤地 mornful
languish ----“像鬼一样”枯萎的
screed 冗长的演说
norm 规则，常态
abrade 磨损
-------------------------825-----
vehement 热烈的
subsidiary ---辅助的 子公司
levy 征收
press 
outmoded 过时的
adulate 逢迎
denomination 起名
impertinent 不相关的
buoyancy ---浮力
compressor 压缩
boisterous  喧闹的 clamor
sustenance 维持
hangar ---飞机库
declivity 下坡，斜坡
gleanings 收集
foolproof 简单的
priority 首要的
catalysis 催化
splurge 挥霍，炫耀，摆阔
peach 桃子
proletarian 无产阶级
fortuitous 偶然的
hoodwink ----欺骗
heckle ---诘问，困扰
ambiguity 歧义
indenture  --契约
leach --分离过滤掉
subversive  --颠覆性的
relic 遗迹
pesticide 杀虫剂
incompatible 不兼容的
avid 渴望
gaffe 失态
grim 严格
detain 拘留
prolix 冗余的
miscreant --恶棍歹徒
indispensable 不可或缺的
impeach 违背
surrogate 替代
safari ---长途考察
entity 实体
pulsate 悸动
arbitrator 独裁者
nullify 归零
flimsy ===轻而薄的，纤细的
lunacy ---精神错乱的
icon 图片
pinch 恰捏
inventory 存储目录清单
autonomous 自治的
poke 戳
winding --蜿蜒迂回的
loathe 不情愿的
computation  计算
celibacy 独身主义
menial 卑微的，仆人的
delirium 精神错乱
sledgehammer --长柄大锤雪橇棒
elocution 讲演术
gobble devour 狼吞虎咽的
grille ---铁栅
lexical 词典
liquefy --液化
vicarious --------间接的，代理的
interpose  置于 之间
declivity 斜坡
intercede --------------调解
grandiloquent ------夸张夸大的
stratum ---阶层
abortive 流产的
kleptomania ------n.盗窃癖
onerous 重负的
guarded 谨慎，提防的
fumes 浓烟
gratify --使满足
prodigy 奇才天才
illegality 不合法
thrust 刺，推
monsoon ---季风，大雨
factitious -----------虚假的
elide ---省略音节
senility 老化
reserve 保留
stamina 耐力
obsession 着迷
chameleon 变色龙
humour 谣言
loathsome  ---------可憎的
choreography 绘画家
despotism  专制暴政 despot
sarcastic 讽刺的
magnate 有钱人
cursive 潦草地
antic 古怪的
irradiate ---使明亮生辉
meretricious ------a.华而不实的，俗艳的
denizen n.居民，外籍居民
pompous ---高傲的
obscene 猥琐的
duplicity 复制体
hedge 篱笆
robe 抢劫
incapacity ---缺乏能力
invocation --祈求 invoke 请求
erratic 古怪的
pine 松树，V消瘦
banality 迂腐
chastise 责骂
stoicism 克己主义
epidermis 外皮
flatcar 平盘车
cringe 畏缩
supple 伸屈自如的
nondescript ----无特征，平凡的
intersect ---交叉
sapient 睿智的
pertinacious --顽固的
synoptic 概要的
gradient 斜坡，坡度
shyster ---奸诈的人
trajectory 弹道轨道
insubordinate --不服从的
anthology 诗文集
decrepit 衰老的，过时的
inhuman 不人道的
acme 顶峰
underplay ---v.轻描淡写，表演不充分
coltish 放荡不拘的，小马的
solicit 恳求，请求
drove --人群，也是开车的过去式
soak 浸泡
banter 开玩笑，嘲弄
penalize 惩罚
probity --正直
desiccant --干燥剂
buoy 浮标
gallant 勇敢地
scintilla --一丝一点
foible n.小缺点，小毛病
vile 恶毒的，邪恶的
eurhythmic --匀称的eu代表好的
lethal 致死的
diverse 多种多样的
limber 翼，枝叶
sanitation --n.公共卫生，卫生设施
plump ----a.丰满的 v.扑通倒下；轻拍使鼓起来
coherent 连贯的，清楚地
firefly 萤火虫
vitriolic ----a.刻薄的，强烈的
campanology ---n.钟学(研究铸钟及鸣钟术)
sinuous 蜿蜒的
pragmatic 实用主义的
entreaty ----请求
salutation 致信，开头称呼
remainder 剩余物
patina 绿锈
corny ----a.平淡无奇的，乡巴佬的
chaos 混乱状态
truculence 凶猛粗暴
calamitous 大灾难的
expulsion  驱逐开出
ingest  咽下，吞下
renegade n.叛教者，叛徒
sliver 长条田地
desiccate 脱水
degrade 降级
period 时期
hostility --n.敌对，敌意；抵制［ pl.］交战，战争
coerce force迫使
gross  总的 
parch  烤干
pyre 柴火堆
unanimous 异口同声的
blanch vt.使变白
suspense 暂停
heroics  -----n.装腔作势的演说或行为
pugnacity ---n.好斗性
seethe ---充满vi.拥挤，云集；发怒，激动，骚动
elapse 流逝
mandatory --a.命令的
yolk 蛋黄
solecism --n.文法错误，举止失礼
provoke 挑衅，激起
comply --vi.(with)遵从，依从，服从
don ---v.穿衣，戴帽
trench 战壕
wield 挥舞
propel 推动力
nonflammable 不可燃的
equitation --n.骑术
contiguous 相邻的
exceedingly ad.非常，极其
flare ---vi.闪耀，烧旺；突然发怒(或激动) n.照明弹
decomposition 分解--n.腐烂，崩溃
heterogeneous --a.混杂的
outwit 比。。。智慧
confluence --n.合流，汇流
footloose --a.自由自在的，无拘束的
solitude  n.单独，独居，隐居
exude ----1.使渗出;发散(气味等)
maltreat
subtlety
treadmill ----2.繁重的工作;令人厌倦的工作
discretion  --n 谨慎,考虑周到
linear  --线的,直线的;使用线的
echelon
forbearance
incarnate
abridge
epoch
imbibe
arboreal
habituate
contuse
secede
crossfire
rubble
hauteur
convict
withdrawn
subterfuge
curb
ken
smirch
remittent
deportment
propinquity
thesaurus
sovereign
plaintive
spineless
guy
ambiguous
laconic
fig
delete
pullulate
regurgitate
currish
tempest
fervor
sidesplitting
capacity
fag
princely
snowdrift
agitated
haughty
vituperative
muddle
renounce
modification
morbid
farrow
discretion
icon
lax
cursory
tussle
anomaly
bubble
debase
proselytize
crumple
spoof
internment
excruciating
incinerate
anticipate
colt
prejudicial
inflation
disintegrate
chinless
aroma
guy
secession
idol
plasticity
spatula
lure
desultory
exorcize
insulate
shuck
bankruptcy
abjure
authorization
mandatory
venal
stigmatize
renowned
fold
coax
approachable
equivocal
monogamy
merchandise
solace
